Date, Open, High, Low, Close
08/01/17, 2477.10, 2478.51, 2471.14, 2476.35
07/31/17, 2475.94, 2477.96, 2468.53, 2470.30
07/28/17, 2469.12, 2473.53, 2464.66, 2472.10
07/27/17, 2482.76, 2484.04, 2459.93, 2475.42
07/26/17, 2479.97, 2481.69, 2474.94, 2477.83
07/25/17, 2477.88, 2481.24, 2474.91, 2477.13
07/24/17, 2472.04, 2473.10, 2466.32, 2469.91
07/21/17, 2467.40, 2472.54, 2465.06, 2472.54
07/20/17, 2475.56, 2477.62, 2468.43, 2473.45
07/19/17, 2463.85, 2473.83, 2463.85, 2473.83
07/18/17, 2455.88, 2460.92, 2450.34, 2460.61
07/17/17, 2459.50, 2462.82, 2457.16, 2459.14
07/14/17, 2449.16, 2463.54, 2446.69, 2459.27
07/13/17, 2444.99, 2449.32, 2441.69, 2447.83
07/12/17, 2435.75, 2445.76, 2435.75, 2443.25
07/11/17, 2427.35, 2429.30, 2412.79, 2425.53
07/10/17, 2424.51, 2432.00, 2422.27, 2427.43
07/07/17, 2413.52, 2426.92, 2413.52, 2425.18
07/06/17, 2423.44, 2424.28, 2407.70, 2409.75
07/05/17, 2430.78, 2434.90, 2422.05, 2432.54
07/03/17, 2431.39, 2439.17, 2428.69, 2429.01
06/30/17, 2429.20, 2432.71, 2421.65, 2423.41
06/29/17, 2442.38, 2442.73, 2405.70, 2419.70
06/28/17, 2428.70, 2442.97, 2428.02, 2440.69
06/27/17, 2436.34, 2440.15, 2419.38, 2419.38
06/26/17, 2443.32, 2450.42, 2437.03, 2439.07
06/23/17, 2434.65, 2441.40, 2431.11, 2438.30
06/22/17, 2437.40, 2441.62, 2433.27, 2434.50
06/21/17, 2439.31, 2442.23, 2430.74, 2435.61
06/20/17, 2450.66, 2450.66, 2436.60, 2437.03
06/19/17, 2442.55, 2453.82, 2441.79, 2453.46
06/16/17, 2431.24, 2433.15, 2422.88, 2433.15
06/15/17, 2424.14, 2433.95, 2418.53, 2432.46
06/14/17, 2443.75, 2443.75, 2428.34, 2437.92
06/13/17, 2434.15, 2441.49, 2431.28, 2440.35
06/12/17, 2425.88, 2430.38, 2419.97, 2429.39
06/09/17, 2436.39, 2446.20, 2415.70, 2431.77
06/08/17, 2434.27, 2439.27, 2427.94, 2433.79
06/07/17, 2432.03, 2435.28, 2424.75, 2433.14
06/06/17, 2431.92, 2436.21, 2428.12, 2429.33
06/05/17, 2437.83, 2439.55, 2434.32, 2436.10
06/02/17, 2431.28, 2440.23, 2427.71, 2439.07
06/01/17, 2415.65, 2430.06, 2413.54, 2430.06
05/31/17, 2415.63, 2415.99, 2403.59, 2411.80
05/30/17, 2411.67, 2415.26, 2409.43, 2412.91
05/26/17, 2414.50, 2416.68, 2412.20, 2415.82
05/25/17, 2409.54, 2418.71, 2408.01, 2415.07
05/24/17, 2401.41, 2405.58, 2397.99, 2404.39
05/23/17, 2397.04, 2400.85, 2393.88, 2398.42
05/22/17, 2387.21, 2395.46, 2386.92, 2394.02
05/19/17, 2371.37, 2389.06, 2370.43, 2381.73
05/18/17, 2354.69, 2375.74, 2352.72, 2365.72
05/17/17, 2382.95, 2384.87, 2356.21, 2357.03
05/16/17, 2404.55, 2405.77, 2396.05, 2400.67
05/15/17, 2393.98, 2404.05, 2393.94, 2402.32
05/12/17, 2392.44, 2392.44, 2387.19, 2390.90
05/11/17, 2394.84, 2395.72, 2381.74, 2394.44
05/10/17, 2396.79, 2399.74, 2392.79, 2399.63
05/09/17, 2401.58, 2403.87, 2392.44, 2396.92
05/08/17, 2399.94, 2401.36, 2393.92, 2399.38
05/05/17, 2392.37, 2399.29, 2389.38, 2399.29
05/04/17, 2389.79, 2391.43, 2380.35, 2389.52
05/03/17, 2386.50, 2389.82, 2379.75, 2388.13
05/02/17, 2391.05, 2392.93, 2385.82, 2391.17
05/01/17, 2388.50, 2394.49, 2384.83, 2388.33
04/28/17, 2393.68, 2393.68, 2382.36, 2384.20
04/27/17, 2389.70, 2392.10, 2382.68, 2388.77
04/26/17, 2388.98, 2398.16, 2386.76, 2387.45
04/25/17, 2381.51, 2392.48, 2381.15, 2388.61
04/24/17, 2370.33, 2376.98, 2369.19, 2374.15
04/21/17, 2354.74, 2356.18, 2344.51, 2348.69
04/20/17, 2342.69, 2361.37, 2340.91, 2355.84
04/19/17, 2346.79, 2352.63, 2335.05, 2338.17
04/18/17, 2342.53, 2348.35, 2334.54, 2342.19
04/17/17, 2332.62, 2349.14, 2332.51, 2349.01
04/13/17, 2341.98, 2348.26, 2328.95, 2328.95
04/12/17, 2352.15, 2352.72, 2341.18, 2344.93
04/11/17, 2353.92, 2355.22, 2337.25, 2353.78
04/10/17, 2357.16, 2366.37, 2351.50, 2357.16
04/07/17, 2356.59, 2363.76, 2350.74, 2355.54
04/06/17, 2353.79, 2364.16, 2348.90, 2357.49
04/05/17, 2366.59, 2378.36, 2350.52, 2352.95
04/04/17, 2354.76, 2360.53, 2350.72, 2360.16
04/03/17, 2362.34, 2365.87, 2344.73, 2358.84
03/31/17, 2364.82, 2370.35, 2362.60, 2362.72
03/30/17, 2361.31, 2370.42, 2358.58, 2368.06
03/29/17, 2356.54, 2363.36, 2352.94, 2361.13
03/28/17, 2339.79, 2363.78, 2337.63, 2358.57
03/27/17, 2329.11, 2344.90, 2322.25, 2341.59
03/24/17, 2350.42, 2356.22, 2335.74, 2343.98
03/23/17, 2345.97, 2358.92, 2342.13, 2345.96
03/22/17, 2343.00, 2351.81, 2336.45, 2348.45
03/21/17, 2379.32, 2381.93, 2341.90, 2344.02
03/20/17, 2378.24, 2379.55, 2369.66, 2373.47
03/17/17, 2383.71, 2385.71, 2377.64, 2378.25
03/16/17, 2387.71, 2388.10, 2377.18, 2381.38
03/15/17, 2370.34, 2390.01, 2368.94, 2385.26
03/14/17, 2368.55, 2368.55, 2358.18, 2365.45
03/13/17, 2371.56, 2374.42, 2368.52, 2373.47
03/10/17, 2372.52, 2376.86, 2363.04, 2372.60
03/09/17, 2363.49, 2369.08, 2354.54, 2364.87
03/08/17, 2369.81, 2373.09, 2361.01, 2362.98
03/07/17, 2370.74, 2375.12, 2365.51, 2368.39
03/06/17, 2375.23, 2378.80, 2367.98, 2375.31
03/03/17, 2380.92, 2383.89, 2375.39, 2383.12
03/02/17, 2394.75, 2394.75, 2380.17, 2381.92
03/01/17, 2380.13, 2400.98, 2380.13, 2395.96
02/28/17, 2366.08, 2367.79, 2358.96, 2363.64
02/27/17, 2365.23, 2371.54, 2361.87, 2369.75
02/24/17, 2355.73, 2367.34, 2352.87, 2367.34
02/23/17, 2367.50, 2368.26, 2355.09, 2363.81
02/22/17, 2361.11, 2365.13, 2358.34, 2362.82
02/21/17, 2354.91, 2366.71, 2354.91, 2365.38
02/17/17, 2343.01, 2351.16, 2339.58, 2351.16
02/16/17, 2349.64, 2351.31, 2338.87, 2347.22
02/15/17, 2335.58, 2351.30, 2334.81, 2349.25
02/14/17, 2326.12, 2337.58, 2322.17, 2337.58
02/13/17, 2321.72, 2331.58, 2321.42, 2328.25
02/10/17, 2312.27, 2319.23, 2311.10, 2316.10
02/09/17, 2296.70, 2311.08, 2296.61, 2307.87
02/08/17, 2289.55, 2295.91, 2285.38, 2294.67
02/07/17, 2295.87, 2299.40, 2290.16, 2293.08
02/06/17, 2294.28, 2296.18, 2288.57, 2292.56
02/03/17, 2288.54, 2298.31, 2287.88, 2297.42
02/02/17, 2276.69, 2283.97, 2271.65, 2280.85
02/01/17, 2285.59, 2289.14, 2272.44, 2279.55
01/31/17, 2274.02, 2279.09, 2267.21, 2278.87
01/30/17, 2286.01, 2286.01, 2268.04, 2280.90
01/27/17, 2299.02, 2299.02, 2291.62, 2294.69
01/26/17, 2298.63, 2300.99, 2294.08, 2296.68
01/25/17, 2288.88, 2299.55, 2288.88, 2298.37
01/24/17, 2267.88, 2284.63, 2266.68, 2280.07
01/23/17, 2267.78, 2271.78, 2257.02, 2265.20
01/20/17, 2269.96, 2276.96, 2265.01, 2271.31
01/19/17, 2271.90, 2274.33, 2258.41, 2263.69
01/18/17, 2269.14, 2272.01, 2263.35, 2271.89
01/17/17, 2269.14, 2272.08, 2262.81, 2267.89
01/13/17, 2272.74, 2278.68, 2271.51, 2274.64
01/12/17, 2271.14, 2271.78, 2254.25, 2270.44
01/11/17, 2268.60, 2275.32, 2260.83, 2275.32
01/10/17, 2269.72, 2279.27, 2265.27, 2268.90
01/09/17, 2273.59, 2275.49, 2268.90, 2268.90
01/06/17, 2271.14, 2282.10, 2264.06, 2276.98
01/05/17, 2268.18, 2271.50, 2260.45, 2269.00
01/04/17, 2261.60, 2272.82, 2261.60, 2270.75
01/03/17, 2251.57, 2263.88, 2245.13, 2257.83
